object_id,title,featured,creator,description,source_url,period,year,medium_genre,subjects,source,credit,thumbnail,alt_text
id_objeto,titulo,destacado,creador,descripcion,url_fuente,periodo,año,medio_genero,temas,fuente,credito,miniatura,texto_alt
# Make it lower-case and avoid spaces. If you are referring to a local object please ensure the object_id matches the name of the file exactly (with or without the file extension – it doesn't matter).,# Please provide a title — this is required.,"# Describe what the image shows for screen readers. Mention the subject and key details. Avoid ""Image of..."" — describe the content directly. If empty, the title is used.","# Mark ""yes"" to feature on homepage",# The person or organization that created the original object.,"# A brief description of the object, shown on the objects page of your published site.",# Here you can include a IIIF manifest and Telar will do the rest of the work for you.,"# The historical period this object belongs to (e.g. ""Colonial period"", ""19th century"").",# In YYYY format — for filtering and sorting chronologically.,"# The medium or genre of the object (e.g. ""Map"", ""Photograph"", ""Engraving"").",# Comma-separated terms for gallery filtering,"# This will be overlaid over the viewer, unless you specify otherwise in _config.yml.","# Attribution line shown on the published site (e.g. ""Courtesy of UCSB Library"").","# Telar generates thumbnails automatically, but you can override this by specifying an image file in this column."
"# Escríbelo en minúsculas y sin espacios. Si hace referencia a un objeto local, asegúrate de que el object_id coincida exactamente con el nombre del archivo (con o sin extensión; no importa).",# Incluye un título: este campo es obligatorio.,"# Describe lo que muestra la imagen para lectores de pantalla. Menciona el sujeto y los detalles clave. Evita ""Imagen de..."" — describe el contenido directamente. Si se deja vacío, se usa el título.","# Marca ""sí"" para destacar en la página de inicio",# La persona u organización que creó el objeto original.,"# Una breve descripción del objeto, que se muestra en la página de objetos de tu sitio publicado.",# Aquí puedes incluir un manifiesto IIIF y Telar se encargará del resto del trabajo.,"# El período histórico al que pertenece este objeto (por ejemplo, ""Período colonial"", ""Siglo XIX"").",# En formato AAAA — para filtrar y ordenar cronológicamente.,"# El medio o género del objeto (por ejemplo, ""Mapa"", ""Fotografía"", ""Grabado"").",# Términos separados por comas para filtrado de galería,"# Esto se mostrará encima del visor, a menos que indiques lo contrario en _config.yml.","# Línea de atribución que se muestra en el sitio publicado (por ejemplo, ""Cortesía de la Biblioteca de UCSB"").","# Telar genera miniaturas automáticamente, pero puedes anular este comportamiento especificando un archivo de imagen en esta columna."
screenshot-20260602-at-23954-pm,Nazca Flamingo Ceramic Vessel,yes,"South America, Peru, South Coast, Nazca","This is an ancient ceramic vessel from the Nazca/Nasca culture from South America, Peru. Distinguishable by the painted flamingos wrapped around the object's center mass. An example of the culture's craftsmanship from one among many pottery pieces",,Early Intermediate Period,~200 BC to AD 600,,,Gift of Dr. Stephen S. Ainsworth and Mrs. John Goodspeed Ainsworth. Collection: The AD&A Museum- The Arts of Ancient South America. Identifier: 1966.68,Courtesy of UCSB ADA Museum Omeka,,Nazca Flamingo Ceramic Vessel
screenshot-20260521-at-125028-pm,Nazca Flamingo Ceramic Vessel,yes,"South America, Peru, South Coast, Nazca","This is an ancient ceramic vessel from the Nazca/Nasca culture from South America, Peru. Distinguishable by the painted flamingos wrapped around the object's center mass. An example of the culture's craftsmanship from one among many pottery pieces.",,Early Intermediate Period,~200 BC to AD 600,,,Gift of Dr. Stephen S. Ainsworth and Mrs. John Goodspeed Ainsworth. Collection: The AD&A Museum- The Arts of Ancient South America. Identifier: 1966.68,Courtesy of UCSB ADA Museum Omeka,,Nazca Flamingo Ceramic Vessel
screenshot-20260526-at-30514-pm,Nazca Flamingo Ceramic Vessel,yes,"South America, Peru, South Coast, Nazca","This is an ancient ceramic vessel from the Nazca/Nasca culture from South America, Peru. Distinguishable by the painted flamingos wrapped around the object's center mass. An example of the culture's craftsmanship from one among many pottery pieces.",,Early Intermediate Period,~200 BC to AD 600,,,Gift of Dr. Stephen S. Ainsworth and Mrs. John Goodspeed Ainsworth. Collection: The AD&A Museum- The Arts of Ancient South America. Identifier: 1966.68,Courtesy of UCSB ADA Museum Omeka,,Nazca Flamingo Ceramic Vessel
screenshot-20260602-at-115911-pm,Shallow bowl with hummingbirds and beans- Nazca,yes,"South America, Peru, South Coast, Nazca","This is an ancient ceramic vessel from the Nazca/Nasca culture from South America, Peru.",,Early Intermediate Period,115/55 bc,,,"Townsend, Richard F. “Deciphering the Nazca World: Ceramic Images from Ancient Peru.” Art Institute of Chicago Museum Studies 11, no. 2 (1985): 117–39. https://doi-org.proxy.library.ucsb.edu/10.2307/4108730. Accession: 1955.1860","Courtesy of Kathleen Culbert Aguilar, Art Institue of Chicago",,Shallow bowl with hummingbirds and beans- Nazca
screenshot-20260602-at-21940-pm,Ica-Nazca Region Map,yes,Elizabeth A. Carmicheal,"Map of Ica-Nazca Region, Peruvian South Coast, showing the regions and sites within their time period.",,Early Intermediate Period,~200 BC to AD 600,,,"Carmichael, Patrick H. “Proto-Nasca Art and Antaras.” Ñawpa Pacha: Journal of Andean Archaeology 35, no. 2 (2015): 117–72. https://www-jstor-org.proxy.library.ucsb.edu/stable/48540740.","Courtesy of Division of Anthropology, American Museum of Natural History, New York",,Ica-Nazca Region Map
screenshot-20260602-at-115857-pm,Shallow bowl with vencejo,yes,"South America, Peru, South Coast, Nazca",Shallow bowl with vencejo-Nazca; H 5.23 cm,,Early Intermediate Period,115/55 bc,,,"Townsend, Richard F. “Deciphering the Nazca World: Ceramic Images from Ancient Peru.” Art Institute of Chicago Museum Studies 11, no. 2 (1985): 117–39. https://doi-org.proxy.library.ucsb.edu/10.2307/4108730.Accession: 1955.1870","Courtesy of Kathleen Culbert Aguilar, The Art Institue of Chicago",,Shallow bowl with vencejo
screenshot-20260602-at-25303-pm,Distribution of Andean Flamingos,yes,,"Current known distribution of Andean Flamingo Phoenicoparrus andinus and Puna Flamingo P. jamesi across Argentina, Bolivia, Chile, and Peru.",,,1998-2000,,,"Derlindati, Enrique J., Felicity Arengo, Matías Michelutti, Marcelo C. Romano, Heber Sosa Fabre, Enver Ortiz, Omar Rocha, Alex E. Jahn, Mariana M. Chanampa, and Ignacio M. Barberis. “A Review of the Ecology and Conservation of the Andean Flamingo Phoenicoparrus Andinus and Puna Flamingo P. Jamesi in South America.” Bird Conservation International 34 (2024): e37. https://doi-org.proxy.library.ucsb.edu/10.1017/S0959270924000273.",Courtesy of E. J. Derlindati and M. Romano,,Distribution of Andean Flamingos
